127.0.0.1 - - [10/May/2023:10:06:55 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/May/2023:10:06:57 +0900] "GET /jsp01_basic/jsp02_elements/jsp03_import.jsp HTTP/1.1" 500 2426
0:0:0:0:0:0:0:1 - - [10/May/2023:10:07:48 +0900] "GET /jsp01_basic/jsp02_elements/jsp03_import.jsp HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [10/May/2023:10:10:45 +0900] "GET /jsp01_basic/jsp02_elements/jsp03_import.jsp HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [10/May/2023:10:10:52 +0900] "GET /jsp01_basic/jsp02_elements/jsp03_import.jsp HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [10/May/2023:10:18:06 +0900] "GET /jsp01_basic/jsp02_elements/jsp04_trimwhitespace.jsp HTTP/1.1" 500 2292
0:0:0:0:0:0:0:1 - - [10/May/2023:10:18:12 +0900] "GET /jsp01_basic/jsp02_elements/jsp04_trimwhitespace.jsp HTTP/1.1" 500 2292
0:0:0:0:0:0:0:1 - - [10/May/2023:10:33:50 +0900] "GET /jsp01_basic/jsp02_elements/jsp05_pageencoding.jsp HTTP/1.1" 200 47
0:0:0:0:0:0:0:1 - - [10/May/2023:10:47:01 +0900] "GET /jsp01_basic/jsp02_elements/jsp06_scriptlet.jsp HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [10/May/2023:10:47:09 +0900] "GET /jsp01_basic/jsp02_elements/jsp06_scriptlet.jsp HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [10/May/2023:10:58:01 +0900] "GET /jsp01_basic/jsp02_elements/jsp07_declare.jsp HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [10/May/2023:11:00:42 +0900] "GET /jsp01_basic/jsp02_elements/jsp07_declare.jsp HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [10/May/2023:11:01:13 +0900] "GET /jsp01_basic/jsp02_elements/jsp07_declare.jsp HTTP/1.1" 200 393
0:0:0:0:0:0:0:1 - - [10/May/2023:11:49:15 +0900] "GET /jsp01_basic/jsp02_elements/jsp08_request.jsp HTTP/1.1" 200 3574
0:0:0:0:0:0:0:1 - - [10/May/2023:11:53:16 +0900] "GET /jsp01_basic/jsp02_elements/jsp09_parameters.jsp HTTP/1.1" 200 235
0:0:0:0:0:0:0:1 - - [10/May/2023:11:56:35 +0900] "GET /jsp01_basic/jsp02_elements/jsp09_parameters.jsp HTTP/1.1" 200 695
0:0:0:0:0:0:0:1 - - [10/May/2023:11:56:38 +0900] "GET /jsp01_basic/jsp02_elements/jsp09_parameters_view.jsp?name=%ED%99%8D%EA%B8%B8%EB%8F%99&addr=%EC%A1%B0%EC%84%A0+%ED%95%9C%EC%96%91+%ED%94%BC%EB%A7%9B%EA%B3%A8 HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [10/May/2023:11:56:44 +0900] "GET /jsp01_basic/jsp02_elements/jsp09_parameters_view.jsp?name=%ED%99%8D%EA%B8%B8%EB%8F%99&addr=%EC%A1%B0%EC%84%A0+%ED%95%9C%EC%96%91+%ED%94%BC%EB%A7%9B%EA%B3%A8&hobbies=%EC%9A%B4%EB%8F%99 HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [10/May/2023:11:57:53 +0900] "GET /jsp01_basic/jsp02_elements/jsp09_parameters_view.jsp?name=%ED%99%8D%EA%B8%B8%EB%8F%99&addr=%EC%A1%B0%EC%84%A0+%ED%95%9C%EC%96%91+%ED%94%BC%EB%A7%9B%EA%B3%A8&hobbies=%EB%8F%85%EC%84%9C&hobbies=%EC%9D%8C%EC%95%85&hobbies=%EC%9A%B4%EB%8F%99&hobbies=%EB%93%B1%EC%82%B0 HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [10/May/2023:11:59:15 +0900] "GET /jsp01_basic/jsp02_elements/jsp09_parameters.jsp HTTP/1.1" 200 700
0:0:0:0:0:0:0:1 - - [10/May/2023:11:59:19 +0900] "POST /jsp01_basic/jsp02_elements/jsp09_parameters_view.jsp HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [10/May/2023:12:01:15 +0900] "GET /jsp01_basic/jsp02_elements/jsp09_parameters.jsp HTTP/1.1" 200 700
0:0:0:0:0:0:0:1 - - [10/May/2023:12:01:16 +0900] "POST /jsp01_basic/jsp02_elements/jsp09_parameters_view.jsp HTTP/1.1" 200 265
